"A valid customer and consent definition are required.","A valid customer and consent definition are required."
"A required consent cannot be withdrawn from the privacy dashboard.","A required consent cannot be withdrawn from the privacy dashboard."
"This consent is not currently granted.","This consent is not currently granted."
"Please accept all required privacy consents.","Please accept all required privacy consents."
"A valid customer and administrator are required.","A valid customer and administrator are required."
"An administrative justification is required.","An administrative justification is required."
"The administrative justification is too long.","The administrative justification is too long."
"Customer data exports are disabled for this store view.","Customer data exports are disabled for this store view."
"An administrator initiated this data export.","An administrator initiated this data export."
"Your personal data has been anonymized.","Your personal data has been anonymized."
"The anonymization was partially completed and requires review.","The anonymization was partially completed and requires review."
"The anonymization could not be completed and requires review.","The anonymization could not be completed and requires review."
"The request cannot be processed while an order is still active.","The request cannot be processed while an order is still active."
"The request cannot be processed while sales documents remain protected.","The request cannot be processed while sales documents remain protected."
"Your account and erasable personal data have been deleted.","Your account and erasable personal data have been deleted."
"The erasure was partially completed and requires review.","The erasure was partially completed and requires review."
"The erasure could not be completed and requires review.","The erasure could not be completed and requires review."
"Your data export is being generated.","Your data export is being generated."
"Your data export is ready to download.","Your data export is ready to download."
"The data export could not be generated and requires review.","The data export could not be generated and requires review."
"The request cannot be processed while a return or complaint is still active.","The request cannot be processed while a return or complaint is still active."
"Current password is required.","Current password is required."
"Another privacy operation for this account is currently being processed.","Another privacy operation for this account is currently being processed."
"An active request of this type already exists.","An active request of this type already exists."
"The request was queued for another processing attempt.","The request was queued for another processing attempt."
"This privacy request type is disabled.","This privacy request type is disabled."
"Your request is waiting for administrative review.","Your request is waiting for administrative review."
"Too many privacy requests were submitted. Please try again later.","Too many privacy requests were submitted. Please try again later."
"Another privacy operation for this account is still running.","Another privacy operation for this account is still running."
"Processing was partially completed and requires review.","Processing was partially completed and requires review."
"Processing will be retried automatically.","Processing will be retried automatically."
"Processing failed after the configured retry limit.","Processing failed after the configured retry limit."
"This consent is required.","This consent is required."
"We use essential cookies and, with your permission, optional cookies.","We use essential cookies and, with your permission, optional cookies."
"Cookie settings","Cookie settings"
"Choose which optional cookie groups you allow.","Choose which optional cookie groups you allow."
"Accept all","Accept all"
"Reject optional","Reject optional"
Customize,Customize
"Save preferences","Save preferences"
Close,Close
"The cookie preference could not be saved. Please try again.","The cookie preference could not be saved. Please try again."
"Privacy policy","Privacy policy"
"Export my data","Export my data"
"Generate a private archive containing your account and order data.","Generate a private archive containing your account and order data."
"Anonymize my data","Anonymize my data"
"Request irreversible replacement of personal data where legally permitted.","Request irreversible replacement of personal data where legally permitted."
"Delete my account","Delete my account"
"Request account deletion after administrative and legal review.","Request account deletion after administrative and legal review."
"The consent definition was archived.","The consent definition was archived."
"GDPR consent definitions","GDPR consent definitions"
"A new immutable consent version was published.","A new immutable consent version was published."
"The consent draft was saved.","The consent draft was saved."
"Created as an inactive draft from rejected-cookie diagnostics.","Created as an inactive draft from rejected-cookie diagnostics."
"An inactive cookie draft was created.","An inactive cookie draft was created."
"GDPR cookie catalog","GDPR cookie catalog"
"The cookie definition was saved.","The cookie definition was saved."
"The cookie group was saved.","The cookie group was saved."
"GDPR automation health","GDPR automation health"
"The request was approved and queued.","The request was approved and queued."
"The customer data export was queued.","The customer data export was queued."
"GDPR customer requests","GDPR customer requests"
"The request was rejected.","The request was rejected."
"The request was queued for retry.","The request was queued for retry."
"GDPR request details","GDPR request details"
"Privacy and personal data","Privacy and personal data"
"You must confirm that you understand this operation is irreversible.","You must confirm that you understand this operation is irreversible."
"Your privacy request has been submitted.","Your privacy request has been submitted."
"The privacy request could not be submitted. Please try again later.","The privacy request could not be submitted. Please try again later."
"Your consent has been withdrawn.","Your consent has been withdrawn."
"The consent could not be withdrawn. Please try again later.","The consent could not be withdrawn. Please try again later."
"The generated export has expired.","The generated export has expired."
"Allowing unmanaged optional integrations requires explicit confirmation of legal approval.","Allowing unmanaged optional integrations requires explicit confirmation of legal approval."
"Invalid EAV attribute code: %1","Invalid EAV attribute code: %1"
"Selected-region banner mode requires at least one ISO region code.","Selected-region banner mode requires at least one ISO region code."
"A trusted proxy header name contains unsupported characters.","A trusted proxy header name contains unsupported characters."
"Cookie wall mode requires explicit confirmation that legal approval was obtained.","Cookie wall mode requires explicit confirmation that legal approval was obtained."
"The value for %1 must be a positive integer.","The value for %1 must be a positive integer."
"The value for %1 cannot exceed %2.","The value for %1 cannot exceed %2."
"Region code ""%1"" must use ISO country or subdivision syntax.","Region code ""%1"" must use ISO country or subdivision syntax."
"Last order, otherwise account creation","Last order, otherwise account creation"
"Last login, otherwise account creation","Last login, otherwise account creation"
"Latest order, login or account update","Latest order, login or account update"
"Show globally (recommended strict default)","Show globally (recommended strict default)"
"Show only in configured countries/regions","Show only in configured countries/regions"
"Do not apply a profile","Do not apply a profile"
"EU — strict / default denied","EU — strict / default denied"
"Global informational notice","Global informational notice"
"Deny optional storage (recommended)","Deny optional storage (recommended)"
"Allow unmanaged tags and cookies","Allow unmanaged tags and cookies"
Denied,Denied
Granted,Granted
"Advanced mode","Advanced mode"
"Basic mode (tags must also use consent gating)","Basic mode (tags must also use consent gating)"
"All denied","All denied"
"Essential storage only (recommended)","Essential storage only (recommended)"
"Custom values below","Custom values below"
"Anonymize (recommended)","Anonymize (recommended)"
"Erase account and erasable data","Erase account and erasable data"
"Applying a GDPR configuration profile requires explicit administrative approval.","Applying a GDPR configuration profile requires explicit administrative approval."
"Unknown GDPR configuration profile.","Unknown GDPR configuration profile."
View,View
"Create consent draft","Create consent draft"
"Internal name","Internal name"
Purpose,Purpose
Required,Required
Active,Active
"Active in store","Active in store"
"Displayed consent content","Displayed consent content"
